ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
17363,KW-688c,Etherwind,Alc-o-Corp,AL,chlorine,CL,ef1d03e7ef924395c2173fc4e4ee8a6f,3.200000047683716,1,10,8300,CIS,1,1664013576188,1664099976188,F
17362,KW-688c,Etherwind,Alc-o-Corp,AL,chlorine,CL,ef1d03e7ef924395c2173fc4e4ee8a6f,3.200000047683716,1,10,8300,CIS,1,1664013574442,1664099974442,F
17359,KW-688c,Etherwind,Interstellar Gaia,INGA,proteinAlgae,ALG,510e7751c0eb6a51fd0fa73565365d1c,0.699999988079071,1,12,2000,AIC,3,1664003394228,1664867394228,PENDING
17358,KW-688c,Etherwind,Interstellar Gaia,INGA,proteinAlgae,ALG,510e7751c0eb6a51fd0fa73565365d1c,0.699999988079071,1,12,2000,AIC,3,1664003384410,1664867384410,PENDING
17356,KW-688c,Etherwind,Spyfx,FX,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,50,5000,CIS,1,1664001306194,1664174106194,C
17355,KW-688c,Etherwind,Icarus Legion,ICL,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,300,11111,CIS,3,1663997381286,1664861381286,F
17353,KW-688c,Etherwind,Icarus Legion,ICL,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,100,4000,CIS,3,1663997272755,1664861272755,F
17352,KW-688c,Etherwind,Icarus Legion,ICL,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,100,4000,CIS,3,1663997271161,1664861271161,F
17350,KW-688c,Etherwind,Icarus Legion,ICL,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,35,8750,CIS,3,1663997239326,1664861239326,F
17344,KW-688c,Etherwind,elder dominon,WIP,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,100,4000,CIS,3,1663969712978,1664228912978,PENDING
17342,KW-688c,Etherwind,Unlimited Ltd.,UN,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,500,35000,CIS,1,1663962315198,1664394315198,PENDING
17341,KW-688c,Etherwind,Unlimited Ltd.,UN,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,500,35000,CIS,1,1663962314286,1664394314286,PENDING
17340,KW-688c,Etherwind,Extra Cheap Fuel Corp,ECFC,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,500,30000,CIS,5,1663960561976,1664392561976,PENDING
17329,KW-688c,Etherwind,Cox Industries,COXI,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,25000,CIS,3,1663924708714,1664183908714,PENDING
17327,KW-688c,Etherwind,Mac Miner,44TH,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,500,900,CIS,3,1663911829472,1664171029472,PENDING
17326,KW-688c,Etherwind,Mac Miner,44TH,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,500,900,CIS,3,1663911818835,1664171018835,PENDING
17325,KW-688c,Etherwind,Mac Miner,44TH,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,500,900,CIS,3,1663911811815,1664171011815,PENDING
17288,KW-688c,Etherwind,Juniper Galactic Corp,JGC,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,200,5100,CIS,3,1663808686008,1664240686008,PENDING
17250,KW-688c,Etherwind,Cox Industries,COXI,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,25000,CIS,3,1663765290810,1664629290810,PENDING
17249,KW-688c,Etherwind,Cox Industries,COXI,pioneerLuxuryDrink,COF,8a0bd8b6a329c3d632da9da63c818b3d,0.10000000149011612,0.10000000149011612,100,25000,CIS,3,1663765289938,1664629289938,PENDING
17234,KW-688c,Etherwind,Unlimited Ltd.,UN,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1,1000,44444.44140625,CIS,3,1663711289264,1664575289264,PENDING
17231,KW-688c,Etherwind,Interstellar Gaia,INGA,proteinAlgae,ALG,510e7751c0eb6a51fd0fa73565365d1c,0.699999988079071,1,120,16000,CIS,10,1663702469368,1664048069368,PENDING
17230,KW-688c,Etherwind,Interstellar Gaia,INGA,proteinAlgae,ALG,510e7751c0eb6a51fd0fa73565365d1c,0.699999988079071,1,12,1600,CIS,10,1663702463904,1664048063904,PENDING
17229,KW-688c,Etherwind,Interstellar Gaia,INGA,proteinAlgae,ALG,510e7751c0eb6a51fd0fa73565365d1c,0.699999988079071,1,120,16000,AIC,10,1663702423290,1664566423290,PENDING
17228,KW-688c,Etherwind,Interstellar Gaia,INGA,proteinAlgae,ALG,510e7751c0eb6a51fd0fa73565365d1c,0.699999988079071,1,12,1600,AIC,10,1663702414931,1664566414931,PENDING
17227,KW-688c,Etherwind,Interstellar Gaia,INGA,proteinAlgae,ALG,510e7751c0eb6a51fd0fa73565365d1c,0.699999988079071,1,12,1600,AIC,10,1663702413377,1664566413377,PENDING
17222,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,2000,24000,CIS,2,1663692701446,1666284701446,PENDING
17221,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,12000,CIS,2,1663692689872,1666284689872,PENDING
17220,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,12000,CIS,2,1663692625638,1666284625638,PENDING
17219,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000,12000,CIS,2,1663692624815,1666284624815,PENDING
17218,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,500,6000,CIS,2,1663692603411,1666284603411,PENDING
17217,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,500,6000,CIS,2,1663692602700,1666284602700,PENDING
17216,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,500,6000,CIS,2,1663692601976,1666284601976,PENDING
17215,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,500,6000,CIS,2,1663692601334,1666284601334,PENDING
17214,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692589243,1666284589243,PENDING
17213,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692588622,1666284588622,PENDING
17212,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692587884,1666284587884,PENDING
17211,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692587115,1666284587115,PENDING
17210,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692584944,1666284584944,PENDING
17209,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692583546,1666284583546,PENDING
17208,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692582704,1666284582704,PENDING
17207,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692581970,1666284581970,PENDING
17206,KW-688c,Etherwind,Xenos Logistics,XL,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,100,1200,CIS,2,1663692581254,1666284581254,PENDING
